TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,182.0756,yes,unknown,unknown,unknown,Unknown,-4.8032,-4.3566,6.7327,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0155,0.0793,0.0000,0.0121,0.0213,0.0014,0.0036,0.0069,0.0042,0.0079,0.0185,0.0082,0.0019,0.0124,0.0356,0.0012,97.1493,0.0185,0.0052,0.0119,0.0013,0.0005,0.2492,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.0333,0,184.8783,yes,unknown,unknown,unknown,Unknown,-5.9273,-5.7861,6.1949,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1933,-0.0148,0.0792,0.0000,0.0088,0.0194,0.0011,0.0033,0.0057,0.0042,0.0101,0.0180,0.0084,0.0025,0.0135,0.0321,0.0019,96.2413,0.0157,0.0047,0.0155,0.0012,0.0007,0.3370,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.0667,0,183.2567,yes,unknown,unknown,unknown,Unknown,-5.3592,-5.3890,6.8046,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1934,-0.0192,0.0792,0.0000,0.0108,0.0166,0.0012,0.0032,0.0055,0.0050,0.0222,0.0204,0.0107,0.0030,0.0115,0.0373,0.0012,96.5182,0.0214,0.0074,0.0158,0.0013,0.0009,0.3668,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.1667,0,183.5484,yes,unknown,unknown,unknown,Unknown,-5.2466,-5.1030,6.7785,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0179,0.0793,0.0000,0.0090,0.0200,0.0011,0.0035,0.0083,0.0042,0.0235,0.0257,0.0085,0.0023,0.0125,0.0361,0.0046,96.7055,0.0250,0.0108,0.0138,0.0012,0.0008,0.3132,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.2333,0,184.6166,yes,unknown,unknown,unknown,Unknown,-5.2645,-4.9305,7.2353,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1932,-0.0195,0.0793,0.0000,0.0093,0.0201,0.0009,0.0036,0.0103,0.0047,0.0232,0.0344,0.0087,0.0020,0.0113,0.0265,0.0025,96.8136,0.0276,0.0099,0.0138,0.0012,0.0007,0.2921,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.2667,0,183.3601,yes,unknown,unknown,unknown,Unknown,-4.9028,-4.3667,7.1489,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1933,-0.0210,0.0793,0.0000,0.0093,0.0202,0.0008,0.0042,0.0107,0.0044,0.0284,0.0336,0.0097,0.0023,0.0100,0.0291,0.0014,97.1437,0.0297,0.0115,0.0136,0.0014,0.0007,0.2979,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.3333,0,183.7265,yes,unknown,unknown,unknown,Unknown,-5.1038,-4.2454,7.2902,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1933,-0.0218,0.0793,0.0000,0.0094,0.0187,0.0010,0.0046,0.0108,0.0043,0.0301,0.0305,0.0096,0.0024,0.0097,0.0294,0.0012,97.2103,0.0365,0.0118,0.0144,0.0013,0.0007,0.3315,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.4000,0,183.9806,yes,unknown,unknown,unknown,Unknown,-5.4431,-5.2630,6.8097,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0204,0.0793,0.0000,0.0108,0.0179,0.0011,0.0047,0.0087,0.0042,0.0262,0.0301,0.0111,0.0021,0.0101,0.0342,0.0007,96.6020,0.0396,0.0116,0.0159,0.0012,0.0006,0.3563,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.5000,0,184.0705,yes,unknown,unknown,unknown,Unknown,-4.7872,-5.5141,6.9472,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0216,0.0792,0.0000,0.0125,0.0174,0.0014,0.0046,0.0070,0.0047,0.0263,0.0260,0.0111,0.0022,0.0099,0.0338,0.0078,96.4332,0.0336,0.0090,0.0166,0.0012,0.0006,0.3539,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.5333,0,185.2561,yes,unknown,unknown,unknown,Unknown,-5.8263,-5.3943,6.9251,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0232,0.0793,0.0000,0.0138,0.0158,0.0015,0.0046,0.0071,0.0049,0.0317,0.0243,0.0103,0.0022,0.0099,0.0358,0.0085,96.5147,0.0336,0.0101,0.0187,0.0011,0.0006,0.3636,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
